NOMMER,VAAR,MOER,GR,YR,SEX,BDAT,WDAT
872782,850190,811340,2,87,1,1987/03/01,1987/06/09
872793,854910,810620,3,87,1,1987/03/01,1987/06/09
872803,854910,810620,3,87,2,1987/03/01,1987/06/09
872863,850210,814840,3,87,1,1987/03/01,1987/06/09
872902,851190,841090,2,87,1,1987/03/01,1987/06/09
873052,853460,821480,2,87,2,1987/03/01,1987/06/09
873062,853460,821480,2,87,2,1987/03/01,1987/06/09
873102,851190,822160,2,87,1,1987/03/01,1987/06/09
873163,850210,851580,3,87,1,1987/03/01,1987/06/09
873172,853460,841770,2,87,1,1987/03/01,1987/06/09
873182,853460,841770,2,87,2,1987/03/01,1987/06/09
873213,850210,834090,3,87,1,1987/03/01,1987/06/09
873223,850210,834090,3,87,2,1987/03/01,1987/06/09
873302,851190,834780,2,87,1,1987/03/01,1987/06/09
873312,851190,834780,2,87,2,1987/03/01,1987/06/09
873363,850980,853660,3,87,2,1987/03/01,1987/06/09
873402,853450,842150,2,87,2,1987/03/01,1987/06/09
873413,854910,830750,3,87,2,1987/03/01,1987/06/09
873423,854910,830750,3,87,2,1987/03/01,1987/06/09
873433,850210,851510,3,87,1,1987/03/01,1987/06/09
873472,850190,822090,2,87,2,1987/03/01,1987/06/09
873512,851190,824570,2,87,1,1987/03/01,1987/06/09
873522,851190,824570,2,87,1,1987/03/01,1987/06/09
873533,854910,822920,3,87,1,1987/03/01,1987/06/09
873543,854910,822920,3,87,2,1987/03/01,1987/06/09
873603,854910,833520,3,87,1,1987/03/01,1987/06/09
873662,851190,812480,2,87,1,1987/03/01,1987/06/09
873672,851190,812480,2,87,2,1987/03/01,1987/06/09
873713,850980,821590,3,87,2,1987/03/01,1987/06/09
873732,853460,821900,2,87,1,1987/03/01,1987/06/09
873742,853460,821900,2,87,2,1987/03/01,1987/06/09
873752,851190,850580,2,87,2,1987/03/01,1987/06/09
873762,853450,852350,2,87,2,1987/03/01,1987/06/09
873872,853460,831680,2,87,2,1987/03/01,1987/06/09
